relationA,relationshipType,relationB
Grade_k,hasEduTopic,T_cardinal
T_cardinal,hasEduConcept,cardinal
Grade_k,hasEduTopic,T_basic_statistics
Grade_k,hasEduTopic,T_fractions
T_fractions,hasEduConcept,fractions
Grade_k,hasEduTopic,T_addition
T_addition,hasEduConcept,addition
Grade_k,hasEduTopic,T_subtraction
T_subtraction,hasEduConcept,subtraction
Grade_k,hasEduTopic,T_multiplication
T_multiplication,hasEduConcept,multiplication
Grade_k,hasEduTopic,T_division
T_division,hasEduConcept,division
Grade_k,hasEduTopic,T_decimals
T_decimals,hasEduConcept,decimals
Grade_k,hasEduTopic,T_percents
Grade_k,hasEduTopic,T_arithmetic
T_arithmetic,hasEduConcept,arithmetic
Grade_k,hasEduTopic,T_counting
T_counting,hasEduConcept,counting
Grade_k,hasEduTopic,T_operations
T_operations,hasEduConcept,operations
Grade_k,hasEduTopic,T_algebra
T_algebra,hasEduConcept,algebra
Grade_k,hasEduTopic,T_number
Grade_k,hasEduTopic,T_base
Grade_k,hasEduTopic,T_measurement
Grade_k,hasEduTopic,T_geometry
Grade_k,hasEduTopic,T_spelling
Grade_k,hasEduTopic,T_characters
T_characters,hasEduConcept,characters
T_spelling,hasEduConcept,spelling
T_percents,hasEduConcept,percents
T_basic_statistics,hasEduConcept,basic
T_basic_statistics,hasEduConcept,statistics
Grade_k,hasEduTopic,T_poems
T_poems,equivalentTo,T_poem
Grade_k,hasEduTopic,T_pushes
Grade_k,hasEduTopic,T_pulls
Grade_k,hasEduTopic,T_speed
Grade_k,hasEduTopic,T_direction
Grade_k,hasEduTopic,T_motion
Grade_k,hasEduTopic,T_matter
Grade_k,hasEduTopic,T_energy
Grade_k,hasEduTopic,T_organisms
Grade_k,hasEduTopic,T_biogeology
T_poems,hasEduConcept,peoms
T_poem,hasEduConcept,poem
T_pushes,hasEduConcept,pushes
T_pulls,hasEduConcept,pulls
T_speed,hasEduConcept,speed
T_direction,hasEduConcept,direction
T_motion,hasEduConcept,motion
T_matter,hasEduConcept,matter
T_energy,hasEduConcept,energy
T_organisms,hasEduConcept,organisms
T_biogeology,hasEduConcept,biogeology
T_earth_systems,hasEduConcept,earth
T_earth_systems,hasEduConcept,systems
Grade_k,hasEduTopic,T_conservation
T_conservation,hasEduConcept,conservation
Grade_k,hasEduTopic,T_weather_and_climate
T_weather_and_climate,hasEduConcept,weather
T_weather_and_climate,hasEduConcept,climate
Grade_k,hasEduTopic,T_natural_harzards
T_natural_harzards,hasEduConcept,natural
T_natural_harzards,hasEduConcept,hazard
T_addition,hasEduConcept,numbers
T_addition,hasEduConcept,whole_numbers
T_addition,hasEduConcept,multiplication
T_addition,hasEduConcept,division
T_addition,hasEduConcept,subtraction
T_addition,hasEduConcept,long_division
T_subtraction,hasEduConcept,addition
T_subtraction,hasEduConcept,multiplication
T_subtraction,hasEduConcept,division
T_subtraction,hasEduConcept,long_division
T_subtraction,hasEduConcept,numbers
T_subtraction,hasEduConcept,whole_numbers
T_multiplication,hasEduConcept,addition
T_multiplication,hasEduConcept,division
T_multiplication,hasEduConcept,subtraction
T_multiplication,hasEduConcept,long_division
T_multiplication,hasEduConcept,numbers
T_multiplication,hasEduConcept,whole_numbers
T_division,hasEduConcept,addition
T_division,hasEduConcept,multiplication
T_division,hasEduConcept,subtraction
T_division,hasEduConcept,long_division
T_division,hasEduConcept,numbers
T_division,hasEduConcept,whole_numbers
T_fractions,hasEduConcept,equivalent
T_fractions,hasEduConcept,proper_fractions
proper_fractions,equivalentTo,proper_fraction
T_fractions,hasEduConcept,fraction
T_fractions,hasEduConcept,improper_fractions
improper_fractions,equivalentTo,improper_fraction
T_fractions,hasEduConcept,mixed_numbers
mixed_numbers,equivalentTo,mixed_number
T_fractions,hasEduConcept,multiplication
T_fractions,hasEduConcept,addition
T_fractions,hasEduConcept,subtraction
T_fractions,hasEduConcept,division
T_fractions,hasEduConcept,estimation
T_decimals,hasEduConcept,place_value
zeros,equivalentTo,zero
T_decimals,hasEduConcept,round
T_decimals,hasEduConcept,equivalent
T_decimals,hasEduConcept,addition
T_decimals,hasEduConcept,subtraction
T_decimals,hasEduConcept,word_problems
word_problems,equivalentTo,word_problem
T_percents,hasEduConcept,percentage
T_percents,hasEduConcept,interest
T_percents,hasEduConcept,notation
T_percents,hasEduConcept,change
T_rate,hasEduConcept,rates
T_rate,hasEduConcept,ratios
T_rate,hasEduConcept,constant
T_rate,hasEduConcept,average
T_ratio,hasEduConcept,rates
T_ratio,hasEduConcept,ratios
T_ratio,hasEduConcept,constant
T_ratio,hasEduConcept,average
T_ratio,equivalentTo,T_ratios
T_basic_statistics,hasEduConcept,mean
T_basic_statistics,hasEduConcept,median
T_basic_statistics,hasEduConcept,range
T_basic_statistics,hasEduConcept,mode
T_measurement,hasEduConcept,units
units,equivalentTo,unit
T_measurement,hasEduConcept,length
T_measurement,hasEduConcept,weight
T_measurement,hasEduConcept,time
T_measurement,hasEduConcept,capacity
T_measurement,hasEduConcept,conversion
T_measurement,hasEduConcept,metric_system
T_measurement,hasEduConcept,scale_drawings
T_geometry,hasEduConcept,points
T_geometry,hasEduConcept,lines
T_geometry,hasEduConcept,angles
T_geometry,hasEduConcept,vertical
T_geometry,hasEduConcept,corresponding
T_geometry,hasEduConcept,alternate
T_geometry,hasEduConcept,interior
